id,trainNumber,ocpRef,name,trackRef,track,ref,name.1,dir,arrival,departure,minimalTime,ocpType,ref.1,code,stopPostRef,Unnamed: 16,Unnamed: 17,Train 1 Number,Train 2 Number,Train 1 Station,Train 2 Station,Conflict Track,Train 1 Time,Train 2 Time,Train 1 Row,Train 2 Row,Conflict Direction,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
tp_0_2_2025_9,VIA2,nON_RmhSt,Richmond Hill Station,st_ON_RmhSt_2,T1,stON_BalSub_0_ON_RmhSt_1,T1,down,,13:48:00,,pass,ou_2_2,Canadian,,,,4133,4132,King-Liberty Station,King-Liberty Station,T3,09:03:54,09:04:42,6283.0,6301.0,Head On,1917-03-13 00:00:00,6300.0,,
tp_0_2_2025_9,VIA2,nON_RmhS,Richmond Hill South,,,stON_BalSub_0_ON_RmhS_1,T2,down,,13:48:30,,pass,ou_2_2,Canadian,,,,4135,4134,King-Liberty Station,King-Liberty Station,T3,09:18:54,09:19:42,6502.0,6520.0,Head On,1917-10-18 00:00:00,6519.0,,
tp_0_2_2025_9,VIA2,nON_LgsSt,Langstaff Station,st_ON_LgsSt_2,T2,stON_BalSub_0_ON_LgsSt_1,T2,down,,13:54:00,,pass,ou_2_2,Canadian,,,,4137,4136,King-Liberty Station,King-Liberty Station,T3,09:33:54,09:34:42,6714.0,6730.0,Head On,1918-05-18 00:00:00,6729.0,,
tp_0_2_2025_9,VIA2,nON_LgsS,Langstaff South,,,stON_BalSub_0_ON_LgsS_1,T2,down,,13:55:24,,pass,ou_2_2,Canadian,,,,4139,4138,King-Liberty Station,King-Liberty Station,T3,09:48:54,09:49:42,6936.0,6955.0,Head On,1918-12-26 00:00:00,6954.0,,
tp_0_2_2025_9,VIA2,nON_DocJct,Doncaster,,,stON_BalSub_0_ON_DocJct_0,T1,down,,13:58:36,,pass,ou_2_2,Canadian,,,,4141,4140,King-Liberty Station,King-Liberty Station,T3,10:03:54,10:04:42,7172.0,7187.0,Head On,1919-08-19 00:00:00,7186.0,,
tp_0_2_2025_9,VIA2,nON_Glc,Glencrest,,,stON_BalSub_0_ON_Glc_1,C1,down,,13:59:00,,pass,ou_2_2,Canadian,,,,4143,4142,King-Liberty Station,King-Liberty Station,T3,10:18:54,10:19:42,7377.0,7393.0,Head On,1920-03-11 00:00:00,7392.0,,
tp_0_2_2025_9,VIA2,nON_GlcL,Glencrest Loop,st_ON_GlcL_1,C1,stON_BalSub_0_ON_GlcL_1,C1,down,,13:59:36,,pass,ou_2_2,Canadian,,,,4145,4144,King-Liberty Station,King-Liberty Station,T3,10:33:54,10:34:42,7567.0,7580.0,Head On,1920-09-17 00:00:00,7579.0,,
tp_0_2_2025_9,VIA2,nON_DocS,Doncaster South,,,stON_BalSub_0_ON_DocS_0,T1,down,,14:00:24,,pass,ou_2_2,Canadian,,,,4147,4146,King-Liberty Station,King-Liberty Station,T3,10:48:54,10:49:42,7772.0,7789.0,Head On,1921-04-10 00:00:00,7788.0,,
tp_0_2_2025_9,VIA2,nON_OcmSt,Old Cummer Station,st_ON_OcmSt_1,T1,stON_BalSub_0_ON_OcmSt_0,T1,down,,14:04:00,,pass,ou_2_2,Canadian,,,,4149,4148,King-Liberty Station,King-Liberty Station,T3,11:03:54,11:04:42,7978.0,7995.0,Head On,1921-11-02 00:00:00,7994.0,,
tp_0_2_2025_9,VIA2,nON_OriSt,Oriole Station,st_ON_OriSt_1,T1,stON_BalSub_0_ON_OriSt_0,T1,down,,14:06:42,,pass,ou_2_2,Canadian,,,,VIA43,9736,Guildwood Station,Guildwood Station,T2,11:09:30,11:10:12,8061.0,8068.0,Head On,1922-01-24 00:00:00,8067.0,,
